Serial,Date,Subject,Title,Description,Summary
11,10/05/2025,CIRCULAR,UPDATED_NAEST CIRCULAR 2025,"Dear Learners, PFA documents for reference. A gentle reminder. Thanks","Circular: Updated NAEST circular 2025 provided for reference."
12,08/05/2025,MATHEMATICS,Ch-2 Polynomials,"AB of ch- Polynomials completed today. Complete if not done. Prepare Ch-1 for test tomorrow. Bring notebooks for checking.","Mathematics: Activity Book (AB) for Polynomials (Ch-2) completed; students to complete if pending, prepare for Ch-1 test, and bring notebooks for checking."
13,08/05/2025,CIRCULAR,Adobe Summer Boot Camp: Session Link for 8th May'2025,"Dear Learners, Join us today for Session 2 of Summer Bootcamp and celebrate the timeless legacy of Rabindranath Tagore – poet, philosopher, and visionary. 🗓️ Date: May 8, 2025 ⏰ Time: 3:15 - 5:00 PM 📍 LINK: https://tinyurl.com/AEBootcamp2 Don’t miss it! Regards, Richa Taneja","Circular: Link provided for Adobe Summer Boot Camp Session 2 (May 8, 3:15-5:00 PM)."
14,08/05/2025,PHYSICS,Units & Measurements,"Dear learners, Deriving formula using dimensional analysis is covered in class. HW- Questions given as HW in class. Thank you","Physics: Derivation of formulas using dimensional analysis covered in class; homework assigned."
15,07/05/2025,ENGLISH,Sound of Music,"Reading and Explanation completed","English: Reading and explanation of ""Sound of Music"" completed."
16,07/05/2025,SOCIAL SCIENCE,economics update,"Dear Learners, As we have concluded chapter 1, we will start with AB from tomorrow. Please carry your Eco AB and notebook tomorrow. Thanks and regards, SSC FACILITATOR","Social Science (Economics): Chapter 1 concluded; Activity Book (AB) work starts tomorrow, students to bring Eco AB and notebook."
17,07/05/2025,BIOLOGY,Biology,"CW- Explained the cell organelles today in the class . HW- Write onion peel and Cheek cells experment in the practical file and bring it on wednesday . For practical class bring one icecrem stick.","Biology: Cell organelles explained in class; homework is to write onion peel and cheek cell experiment in practical file and bring it with an ice cream stick on Wednesday."
18,07/05/2025,CIRCULAR,WORLD TECHNOLOGY DAY _CANVA MAKING,"Dear Learners, Please note-You are required to design a poster on Canva on the topic ""Green technology and sustainability"" and email it to your Class Teacher by May 8, 2025. The submitted work will be screen-shared in class on May 9, 2025.","Circular: Students to design a Canva poster on ""Green technology and sustainability"" and email it to the class teacher by May 8th for sharing on May 9th."
19,06/05/2025,CIRCULAR,Adobe Summer Boot Camp: Login Video,"Dear Learners, PFA a short video on how to log in to the Adobe Express accounts. Regards, Richa Taneja","Circular: Login video for Adobe Express accounts provided (Richa Taneja)."
20,06/05/2025,MATHEMATICS,Ch-2 Polynomials,"Ch-2 Polynomials completed from Ncert. Bring AB and AB notebooks tomorrow. Submit Ncert notebooks for checking tomorrow.","Mathematics: Chapter 2 (Polynomials) from NCERT completed; students to bring Activity Book (AB) and AB notebooks, and submit NCERT notebooks for checking tomorrow."
21,05/05/2025,SOCIAL SCIENCE,SSC-PA-1_MS_5.5.25,"Dear Learners, PFA the MS of PA-1 for reference. Thanks SSC Team","Social Science PA-1: Marking scheme provided for reference (SSC Team)."
22,05/05/2025,CIRCULAR,Adobe Summer Bootcamp,"Dear Learners, Adobe is organising a summer bootcamp for students of grades V-X. The details for the camp is attached. Learners who are interested to enrol, please contact your respective computer teacher at the earliest. Regards, Richa Taneja","Circular: Adobe Summer Bootcamp for Grades V-X announced; interested students to contact their computer teacher for enrollment (Richa Taneja)."
23,05/05/2025,ENGLISH,Writing Skills,"Decriptive Paragraph ( person) completed Honework - Assignment Booklet - Q6","English: Descriptive paragraph (person) completed in class; homework is Q6 from the Assignment Booklet."
24,05/05/2025,CIRCULAR,Adobe Summer BootCamp : 5th May'2025 Session Link,"Dear Learners, PFA the link for 5th May'2025 session. All those who are interested may kindly login to the session. Join us Today for the first session of the Student Bootcamp. Time : 3:00-4:30. Link : https://tinyurl.com/AEBootcamp1 *Students reaching home by 3:15-3:30 can also join us and learn something new every Monday and Thursday. Regards, Richa Taneja","Circular: Link provided for the Adobe Summer BootCamp session on May 5th (3:00-4:30 PM)."
25,05/05/2025,FRENCH,REVISION TEST,"Revision test of past participles tomorrow","French: Revision test on past participles scheduled for tomorrow."
26,03/05/2025,CIRCULAR,Early Dispersal,"Dear Parents, Greetings! Since we are in receipt of multiple requests for early exit from the school today, we have taken a conscious decision of closing the school at 12:30 pm. Dispersal of the bus users - 12:30 pm and the walkers - 12:40 pm. We solicit your understanding and cooperation in this matter. Warm Regards, Anita Malhotra Director - Principal 03.05.2025","Circular: Early school dispersal at 12:30 PM for bus users and 12:40 PM for walkers (Anita Malhotra)."
27,02/05/2025,CIRCULAR,IMPORTANT ANNOUNCEMENT,"Dear Parent Please note Due to the inclement weather conditions , we are constrained to reschedule the *Investiture Ceremony to Saturday , 3rd May at 9.00 am* (Subject to weather conditions) Inconvenience regretted Warm Regards Anita Malhotra","Circular: Investiture Ceremony rescheduled to Saturday, May 3rd at 9:00 AM due to weather (Anita Malhotra)."
28,02/05/2025,CIRCULAR,"Open House for Grades IX-XII Saturday,10","Dear Parent Greetings ! Kindly note- *Saturday, 3rd May will be a regular working day for Grades I-XII*. *Open House for Grades IX-XII is rescheduled to Saturday,10th May.* Thank you for your understanding in this regard. Best Wishes Anita Malhotra","Circular: Saturday, May 3rd will be a regular working day for Grades I-XII; Open House for Grades IX-XII rescheduled to Saturday, May 10th (Anita Malhotra)."
29,02/05/2025,CIRCULAR,IMPORTANT,"Dear Parent Please note Due to the inclement weather conditions , we are constrained to reschedule the Investiture Ceremony to Saturday , 3rd May at 9.00 am (Subject to weather conditions) Inconvenience regretted Warm Regards Anita Malhotra","Circular: Investiture Ceremony rescheduled to Saturday, May 3rd at 9:00 AM due to weather (Anita Malhotra)."
30,02/05/2025,ALL,Cascade - Magazine Submissions,"Dear Learners, We are excited to invite your submissions for our annual school magazine, Cascade. Looking at the overwhelming response, the final date of submission has been extended to 10th May 2025. All students from Grades IV to XII are welcome to contribute articles, short essays, comic strips, jokes, riddles, and poems to be featured in this year’s edition. Please ensure the entries are original and free from plagiarism. You may email your entries at cascade.lvisg@lotusvalleygurgaon.com, latest by 10th May 2025. We look forward to your creative contributions! Editorial Team","All: Deadline for Cascade school magazine submissions (Grades IV-XII) extended to May 10th, 2025. Email entries to cascade.lvisg@lotusvalleygurgaon.com."
31,02/05/2025,CIRCULAR,IMPORTANT INFORMATION,"Dear Parent, Greetings! This is to inform you that due to the postponement of the Investiture Ceremony to Saturday, 3rd May,25 the Open House has been rescheduled to Saturday,17th May’25. Saturday,3rd May, will be observed as a working day for Grades IV-XII and Tuesday’s time table shall be followed. Thank you for your understanding in this regard. Warm regards, Anita Malhotra Director-Principal 02.05.2025","Circular: Open House rescheduled to May 17th due to Investiture Ceremony postponement; Saturday, May 3rd is a working day for Grades IV-XII (Tuesday's timetable to be followed) - Anita Malhotra."
32,02/05/2025,CIRCULAR,"Saturday, 3rd May will be a regular working day for Grades I","Dear Parent Greetings ! Kindly note- Saturday, 3rd May will be a regular working day for Grades I-XII. Open House for Grades IX-XII is rescheduled to Saturday,10th May. Thank you for your understanding in this regard. Best Wishes Anita Malhotra","Circular: Saturday, May 3rd is a regular working day for Grades I-XII; Open House for Grades IX-XII rescheduled to May 10th (Anita Malhotra)."
33,02/05/2025,ENGLISH,Adventures of Toto,"Q/A discussed","English: Questions and answers for ""Adventures of Toto"" discussed."
34,30/04/2025,SOCIAL SCIENCE,Tomorrow’s Schedule,"Dear Learners, After completion of revision for PA 1, we would commence Economics chapter 1 from tomorrow onwards. Please carry the books. Thanks and regards, SSC FACILITATOR","Social Science: Economics Chapter 1 will commence tomorrow after PA 1 revision; students to bring books."
35,30/04/2025,FRENCH,EVALUATION PLAN,PFA,"French: Evaluation plan attached."
36,29/04/2025,SCIENCE,Invitation to attend Popular Science Lecture “Science behind,"Dear Learners, PFA documents for reference. Please note-Last date is before or on 1st May 2025. Thanks","Science: Invitation and documents for a popular science lecture ""Science behind..."" provided; last date to register is May 1st, 2025."
37,29/04/2025,SOCIAL SCIENCE,Grade IX-SSC- PA-1 Revision Worksheets and Map work,"Dear Learners, PFA, the Revision Worksheets and Map work for your reference and practice. NOTE:BRING ONE POLITICAL MAP OF INDIA ON MONDAY (05.05.25) FOR PA1. Thanks Social Science Team","Social Science PA-1 (Grade IX): Revision worksheets and map work provided; students to bring a political map of India on Monday (05.05.25)."
38,28/04/2025,MATHEMATICS,Ch-2 Polynomials,"CW: Ex2.3 discussed till Q-3 HW : Complete HW parts Q-1,2,3","Mathematics: Exercise 2.3 (Polynomials) discussed up to Q-3 in class; homework is to complete remaining parts of Q-1, 2, and 3."
39,28/04/2025,SCIENCE,AK_PA-1_IX SCIENCE _2025-26,"Dear Learners, PFA documents for reference. Thanks","Science PA-1 (Grade IX): Documents provided for reference."
40,28/04/2025,CHEMISTRY,chemistry work,"CW - interconversion of state using temperaturw and pressure factors. HW-learners to draw representation of arrangement of molecules in in all three states of matter","Chemistry: Interconversion of states using temperature and pressure discussed; homework is to draw molecular arrangements in solid, liquid, and gas."
41,28/04/2025,CIRCULAR,"School will remain closed for students - Tuesday, 29th April","Dear Parent Please note - As per the Directives issued by the Government of Haryana , the School will remain closed for students tomorrow ie Tuesday, 29th April 2025 on account on Parshuram Jayanti. With Warm Regards Anita Malhotra","Circular: School closed for students on Tuesday, April 29th, 2025 due to Parshuram Jayanti (Anita Malhotra)."
42,25/04/2025,CHEMISTRY,chemistry work,"CW-characteristics of liquid and gas completed along with compressibility activity HW – learners to complete Intex question number three, a and b page 6 in notebook by Friday","Chemistry: Characteristics of liquid and gas, and compressibility activity completed; homework is to complete Intex Q3 (a & b, page 6) in notebook by Friday."
43,25/04/2025,FRENCH,updated grammar,PFS,"French: Updated grammar information provided (PFS)."
44,25/04/2025,FRENCH,GRAMAIRE,PFA,"French: Grammar information attached."
45,25/04/2025,SOCIAL SCIENCE,Schedule,"Dear Learners, We have concluded PA 1 syllabus and will Commence with revision from Monday. Please carry any one SSC NB and India/ world political maps for revision. Thanks and regards, SSC FACILITATOR","Social Science: PA 1 syllabus concluded, revision starts Monday. Bring SSC notebook and India/world maps."
46,24/04/2025,SOCIAL SCIENCE,GRADE IX-SSC-PA-1 EVALUATION PLAN,"Dear Learners, PFA the Evaluation plan for PA-1 SSC. Thanks, Social Science Team","Social Science PA-1 (Grade IX): Evaluation plan provided (Social Science Team)."
47,24/04/2025,ARTIFICIAL INTELLIGENCE,AI - Notebook Work and Activity Submission,"Dear Learners, You are requested to attempt questions 1-20 of the assignment booklet given on pages 29-30 in your notebook. AI Activity Submission: Create a 2D Smart Home Layout on an A4 sheet paper, mentioning/labelling the smart gadgets used in your homes. Please note the submission for both Notebook work and Smart Home Layout is 9th May'2025 Thanks & Regards Richa Taneja/Preety Bala","AI: Questions 1-20 from assignment booklet (pages 29-30) to be done in notebook; create a 2D Smart Home Layout (submission May 9th, 2025)."
48,24/04/2025,ENGLISH,Multiple Assessment,"Activity: ‘The Roads Within’ 1.On an A4 sheet, students illustrate the diverging roads from ‘The Road Not Taken’ and explain the extended metaphor in their own words. (30-40 words) 2.They expand it by comparing Frost’s roads to another metaphor (e.g., doors, rivers) and illustrate this connection. (30-40 words) 3.Finally, they add a short poem, quote, or phrase capturing the poem’s essence.","English: Multiple Assessment activity on 'The Road Not Taken' involving illustration, metaphor comparison, and adding a related poem/quote/phrase."
49,24/04/2025,ENGLISH,Classwork,The Lost Child - Discussed Multiple Assessment will be conducted on Friday 1st May .,English: ""The Lost Child"" discussed in class; Multiple Assessment on it will be on Friday May 1st."
50,24/04/2025,MATHEMATICS,Ch-2 Polynomials,"Ex-2.2 discussed till Q-3 , complete if not done. Bring AB notebooks for checking tomorrow.","Mathematics: Exercise 2.2 (Polynomials) discussed up to Q-3; students to complete if pending and bring Activity Book (AB) notebooks for checking tomorrow."
51,23/04/2025,FRENCH,WORKSHEET,PFA,"French: Worksheet attached."
52,23/04/2025,MATHEMATICS,Ch-2 Polynomials,Ex-2.1 Explained and discussed. Bring AB notebooks for checking tomorrow.,Mathematics: Exercise 2.1 (Polynomials) explained and discussed; students to bring Activity Book (AB) notebooks for checking tomorrow.
53,22/04/2025,CHEMISTRY,chemistry work,CW- Revision worksheet of PaI syllabus discussed. Learners to prepare class test of PaI syllabus and submit notebook and Ab for correction work.,Chemistry: Revision worksheet of PA-I syllabus discussed; students to prepare for class test and submit notebook and Activity Book (AB) for correction.
54,22/04/2025,FRENCH,lesson 4,PFA,"French: Lesson 4 material attached."
55,22/04/2025,SOCIAL SCIENCE,Geography,"Dear Learners, We have conculded the chapter India size and location. Please carry geography AB tomorrow. Completed History Notebook submission by tomorrow too. Thanks SSC FACILITATOR","Social Science (Geography): Chapter ""India size and location"" concluded; students to bring geography Activity Book (AB) and submit completed History notebooks tomorrow."
56,21/04/2025,CHEMISTRY,Revision worskheet,Dear leaders PFA REVSION WORKSHEET OF CHEMISTRY.,Chemistry: Revision worksheet provided.
57,21/04/2025,CHEMISTRY,reminder,Bring notebook for correction work tommorow with completion of PAI syllabus notes and question answers.,Chemistry: Reminder to bring notebooks tomorrow for correction with completed PA-I syllabus notes and question answers.
58,21/04/2025,CHEMISTRY,REVISION WORKSHEET CHEMISTRY,"Deal all PFA, revision worksheet of chemistry. Learners to get print of the same tommorow for discussion.","Chemistry: Revision worksheet provided; students to get a print for tomorrow's discussion."
59,21/04/2025,CHEMISTRY,REVISION WORKSHEET CHEMISTRY,"Deal all PFA, revision worksheet of chemistry. Learners to get print of the same tommorow for discussion.","Chemistry: Revision worksheet provided; students to get a print for tomorrow's discussion."
60,21/04/2025,ENGLISH,English Activity for the month of April,"Graphic Organiser (A4 Sheet) The Lost Child by Mulk Raj Anand Task: Based on your reading of The Lost Child, reflect on the vibrant fair the child visits with his parents. This fair is rooted in cultural celebration and community life. Now, think of a seasonal festival fair celebrated in any part of India that shares a similar sense of vibrancy, colour, and local tradition. Design a graphic organiser on an A4 sheet that showcases the festival fair of your choice. Ensure that the organiser includes the following elements: 1. Name and Region – What is the name of the festival and where is it celebrated? 2. Season – Which season does it fall in, and how does that influence the fair's activities and setting? 3. Key Attractions – Describe some visual, auditory, or sensory elements (like in The Lost Child – toys, sweets, snake charmers, rides, etc.) 4. Emotional/Personal Response – If you were the child in the story, how might your experience be similar or different at this fair? 5. Literary Parallel – Make a connection to the story – how does this fair reflect the themes of innocence, desire, or belonging seen in the text? Illustrations/Visuals – Add labelled images or drawings to bring your organiser to life. Bonus Element (Optional): Add a short quote from The Lost Child that resonates with the spirit of the fair you’ve chosen – you can paraphrase if needed.","English (April Activity): Create a graphic organizer comparing the fair in ""The Lost Child"" with a vibrant Indian festival fair, including details on name, region, season, attractions, emotional response, and literary parallel."
61,21/04/2025,MATHEMATICS,Number system,"AB of Number system discussed in Class. Complete if not done. Bring School live Magazine tomorrow with two A4 size",Mathematics: Activity Book (AB) of Number System discussed; students to complete if pending and bring School Live Magazine with two A4 size colored sheets tomorrow.
62,21/04/2025,ENGLISH,English April Activity,"Graphic Organiser (A4 Sheet) The Lost Child by Mulk Raj Anand Task: Based on your reading of The Lost Child, reflect on the vibrant fair the child visits with his parents. This fair is rooted in cultural celebration and community life. Now, think of a seasonal festival fair celebrated in any part of India that shares a similar sense of vibrancy, colour, and local tradition. Design a graphic organiser on an A4 sheet that showcases the festival fair of your choice. Ensure that the organiser includes the following elements: 1. Name and Region – What is the name of the festival and where is it celebrated? 2. Season – Which season does it fall in, and how does that influence the fair's activities and setting? 3. Key Attractions – Describe some visual, auditory, or sensory elements (like in The Lost Child – toys, sweets, snake charmers, rides, etc.) 4. Emotional/Personal Response – If you were the child in the story, how might your experience be similar or different at this fair? 5. Literary Parallel – Make a connection to the story – how does this fair reflect the themes of innocence, desire, or belonging seen in the text? Illustrations/Visuals – Add labelled images or drawings to bring your organiser to life. Bonus Element (Optional): Add a short quote from The Lost Child that resonates with the spirit of the fair you’ve chosen – you can paraphrase if needed.","English (April Activity): Create a graphic organizer comparing the fair in ""The Lost Child"" with a vibrant Indian festival fair, including details on name, region, season, attractions, emotional response, and literary parallel."
63,21/04/2025,PHYSICS,PHYSICS REVISION WORKSHEET,"Dear learners, PFA. Warm regards","Physics: Revision worksheet provided."
64,20/04/2025,CHEMISTRY,reminder,Bring NOTEBOOK and AB of chemistry for tomorrow 's class,Chemistry: Reminder to bring notebook and Activity Book (AB) for tomorrow's class.
65,19/04/2025,SCIENCE,GR IX _SCIENCE _EVALUATION PLAN_PA1(2025-26),"Dear Learners, PFA documents for reference. Thanks","Science PA-1 (Grade IX): Evaluation plan documents provided for reference."
66,18/04/2025,CIRCULAR,ATL,"Dear learners Inviting applications from interested participants for ROBORUSH 1.0 -a high-speed, high-energy Robot Race & Project Showcase 1) Robot Race – hit the track, and race to victory! Speed, control, and precision are all that matter! 2)Project Showcase – Flex your tech creations and leave everyone speechless! Date: 26 April 2025 Big prizes, ultimate bragging rights, and tech glory await! Interested learners to mail their idea/ interest in participating at ATLLVISG@lotusvalleygurgaon.com latest by 20.04.25 Regards","Circular (ATL): Invitation for ROBORUSH 1.0 (Robot Race & Project Showcase on April 26th, 2025); interested students to email their ideas by April 20th."
67,17/04/2025,PHYSICS,PHYSICS: MOTION,"Dear learners, CW- v-t graph was discussed & numericals on the same were done in class. HW- AB Questions related to the topic Thank you","Physics: Velocity-time (v-t) graph discussed with numericals; homework is Activity Book (AB) questions on the topic."
68,17/04/2025,MATHEMATICS,CH-1 NUMBER SYSTEM,"AB McQ, Case study and subjective till Q4 were discussed. Do Q-1 &2 (subjective) in AB notebooks.","Mathematics: Activity Book (AB) MCQs, case studies, and subjective questions up to Q4 discussed; homework is to do subjective Q-1 & 2 in AB notebooks."
69,17/04/2025,SCIENCE,NAEST CIRCULAR,"Dear Parents, PFA documents for reference. Thanks","Science: NAEST circular documents provided for parents' reference."
70,17/04/2025,BIOLOGY,BIOLOGY,CW- The written revision for PA-1 was done today in class. Doubts related to chapter fundamental unit of life were also cleared. Submit your biology notebook and AB on Monday for checking. Biology: Written revision for PA-1 done in class doubts cleared on ""Fundamental Unit of Life""; submit biology notebook and Activity Book (AB) on Monday for checking."
71,17/04/2025,ENGLISH,English,"The Road not Taken - completed Hw - SAQ -1,2; LAQ - 2 Please carry Moments for Monday","English: ""The Road Not Taken"" completed; homework is SAQ-1,2 and LAQ-2; bring ""Moments"" textbook for Monday."
72,16/04/2025,CIRCULAR,Heritage Day Activity,"Dear Students, As discussed in class, please be prepared for the Heritage Day activity. Kindly share either a video or a photograph along with your blog post by mailing it to: priyanka.zulfikar@lotusvalleygurgaon.com. Looking forward to your enthusiastic participation!","Circular: Students to prepare for Heritage Day activity and share a video or photograph with their blog post via email to priyanka.zulfikar@lotusvalleygurgaon.com."
73,16/04/2025,MATHEMATICS,CH-1 NUMBER SYSTEM,"MCQ questions of AB were discussed in class. Do case study-1 & 2 , Subjective-1 &2 in AB notebooks. List your doubts .","Mathematics: Activity Book (AB) MCQs discussed; homework is to do case studies 1 & 2 and subjective questions 1 & 2 in AB notebooks; students to list their doubts."
74,15/04/2025,BIOLOGY,Biology,"Dear Learners Please submit your biology notebook tomorrow for checking with all the diagrams, in-text questions, and back exercises of the chapter—Fundamental Unit of Life—as mentioned in the class. Kindly carry biology AB tomorrow. HW- Revise chapter - Fundamental unit of life till cell wall for written revision on Thursday, 17 Th April .","Biology: Submit biology notebook tomorrow for checking (diagrams, in-text questions, back exercises of ""Fundamental Unit of Life""); bring biology Activity Book (AB) tomorrow; homework is to revise ""Fundamental Unit of Life"" up to the cell wall for a written revision on Thursday, April 17th."
75,15/04/2025,MATHEMATICS,NUMBER SYSTEM,Ncert discussed for Ex -1.4 and 1.5. Complete if not done . Bring AB and AB notebooks tomorrow.,Mathematics: NCERT exercises 1.4 and 1.5 discussed; students to complete if pending and bring Activity Book (AB) and AB notebooks tomorrow.
